Sno,Name,Price,Orders,Date
2,Shawarma,120,62,2022-07-31
3,Appam,30,176,2022-07-31
4,Dosa,70,218,2022-07-31
5,Paratha,40,349,2022-07-31
6,Samosa,20,84,2022-07-31
7,Chicken Curry,140,101,2022-07-31
8,Paneer Tikka,180,18,2022-07-31
9,Mutton Biryani,250,47,2022-07-31
10,Rasam,70,61,2022-07-31
11,Palak Paneer,160,50,2022-07-31
12,Fried Rice,130,62,2022-07-31
13,Gulab Jamun,80,43,2022-07-31
14,Chicken 65,160,109,2022-07-31
15,Butter Chicken,200,104,2022-07-31
16,Veg Meals,110,68,2022-07-31
17,Chappathi,50,353,2022-07-31
18,Aloo Gobi,140,42,2022-07-31
19,Kadai Chicken,200,93,2022-07-31
20,Fish Curry,140,76,2022-07-31
1,Biryani,150,73,2022-08-01
2,Shawarma,120,57,2022-08-01
3,Appam,30,203,2022-08-01
4,Dosa,70,217,2022-08-01
5,Paratha,40,296,2022-08-01
6,Samosa,20,106,2022-08-01
7,Chicken Curry,140,82,2022-08-01
8,Paneer Tikka,180,47,2022-08-01
9,Mutton Biryani,250,57,2022-08-01
10,Rasam,70,90,2022-08-01
11,Palak Paneer,160,54,2022-08-01
12,Fried Rice,130,53,2022-08-01
13,Gulab Jamun,80,38,2022-08-01
14,Chicken 65,160,62,2022-08-01
15,Butter Chicken,200,68,2022-08-01
16,Veg Meals,110,80,2022-08-01
17,Chappathi,50,319,2022-08-01
18,Aloo Gobi,140,57,2022-08-01
19,Kadai Chicken,200,72,2022-08-01
20,Fish Curry,140,67,2022-08-01
1,Biryani,150,65,2022-08-02
2,Shawarma,120,61,2022-08-02
3,Appam,30,206,2022-08-02
4,Dosa,70,216,2022-08-02
5,Paratha,40,294,2022-08-02
6,Samosa,20,93,2022-08-02
7,Chicken Curry,140,78,2022-08-02
8,Paneer Tikka,180,48,2022-08-02
9,Mutton Biryani,250,46,2022-08-02
10,Rasam,70,71,2022-08-02
11,Palak Paneer,160,43,2022-08-02
12,Fried Rice,130,32,2022-08-02
13,Gulab Jamun,80,28,2022-08-02
14,Chicken 65,160,79,2022-08-02
15,Butter Chicken,200,86,2022-08-02
16,Veg Meals,110,94,2022-08-02
17,Chappathi,50,318,2022-08-02
18,Aloo Gobi,140,46,2022-08-02
19,Kadai Chicken,200,70,2022-08-02
20,Fish Curry,140,74,2022-08-02
1,Biryani,150,68,2022-08-03
2,Shawarma,120,56,2022-08-03
3,Appam,30,208,2022-08-03
4,Dosa,70,223,2022-08-03
5,Paratha,40,311,2022-08-03
6,Samosa,20,94,2022-08-03
7,Chicken Curry,140,85,2022-08-03
8,Paneer Tikka,180,59,2022-08-03
9,Mutton Biryani,250,52,2022-08-03
10,Rasam,70,88,2022-08-03
11,Palak Paneer,160,49,2022-08-03
12,Fried Rice,130,55,2022-08-03
13,Gulab Jamun,80,37,2022-08-03
14,Chicken 65,160,93,2022-08-03
15,Butter Chicken,200,75,2022-08-03
16,Veg Meals,110,98,2022-08-03
17,Chappathi,50,322,2022-08-03
18,Aloo Gobi,140,38,2022-08-03
19,Kadai Chicken,200,80,2022-08-03
20,Fish Curry,140,68,2022-08-03
1,Biryani,150,73,2022-08-04
2,Shawarma,120,59,2022-08-04
3,Appam,30,203,2022-08-04
4,Dosa,70,218,2022-08-04
5,Paratha,40,294,2022-08-04
6,Samosa,20,99,2022-08-04
7,Chicken Curry,140,91,2022-08-04
8,Paneer Tikka,180,47,2022-08-04
9,Mutton Biryani,250,63,2022-08-04
10,Rasam,70,86,2022-08-04
11,Palak Paneer,160,45,2022-08-04
12,Fried Rice,130,48,2022-08-04
13,Gulab Jamun,80,52,2022-08-04
14,Chicken 65,160,66,2022-08-04
15,Butter Chicken,200,95,2022-08-04
16,Veg Meals,110,98,2022-08-04
17,Chappathi,50,323,2022-08-04
18,Aloo Gobi,140,58,2022-08-04
19,Kadai Chicken,200,73,2022-08-04
20,Fish Curry,140,79,2022-08-04
1,Biryani,150,86,2022-08-05
2,Shawarma,120,63,2022-08-05
3,Appam,30,194,2022-08-05
4,Dosa,70,199,2022-08-05
5,Paratha,40,328,2022-08-05
6,Samosa,20,102,2022-08-05
7,Chicken Curry,140,90,2022-08-05
8,Paneer Tikka,180,56,2022-08-05
9,Mutton Biryani,250,50,2022-08-05
10,Rasam,70,65,2022-08-05
11,Palak Paneer,160,39,2022-08-05
12,Fried Rice,130,69,2022-08-05
13,Gulab Jamun,80,51,2022-08-05
14,Chicken 65,160,93,2022-08-05
15,Butter Chicken,200,85,2022-08-05
16,Veg Meals,110,88,2022-08-05
17,Chappathi,50,307,2022-08-05
18,Aloo Gobi,140,35,2022-08-05
19,Kadai Chicken,200,76,2022-08-05
20,Fish Curry,140,80,2022-08-05
1,Biryani,150,103,2022-08-06
2,Shawarma,120,64,2022-08-06
3,Appam,30,185,2022-08-06
4,Dosa,70,201,2022-08-06
5,Paratha,40,307,2022-08-06
6,Samosa,20,115,2022-08-06
7,Chicken Curry,140,89,2022-08-06
8,Paneer Tikka,180,38,2022-08-06
9,Mutton Biryani,250,46,2022-08-06
10,Rasam,70,82,2022-08-06
11,Palak Paneer,160,45,2022-08-06
12,Fried Rice,130,49,2022-08-06
13,Gulab Jamun,80,62,2022-08-06
14,Chicken 65,160,93,2022-08-06
15,Butter Chicken,200,105,2022-08-06
16,Veg Meals,110,78,2022-08-06
17,Chappathi,50,337,2022-08-06
18,Aloo Gobi,140,23,2022-08-06
19,Kadai Chicken,200,89,2022-08-06
20,Fish Curry,140,69,2022-08-06
1,Biryani,150,127,2022-08-07
2,Shawarma,120,70,2022-08-07
3,Appam,30,186,2022-08-07
4,Dosa,70,197,2022-08-07
5,Paratha,40,342,2022-08-07
6,Samosa,20,88,2022-08-07
7,Chicken Curry,140,98,2022-08-07
8,Paneer Tikka,180,36,2022-08-07
9,Mutton Biryani,250,72,2022-08-07
10,Rasam,70,77,2022-08-07
11,Palak Paneer,160,37,2022-08-07
12,Fried Rice,130,37,2022-08-07
13,Gulab Jamun,80,61,2022-08-07
14,Chicken 65,160,98,2022-08-07
15,Butter Chicken,200,116,2022-08-07
16,Veg Meals,110,76,2022-08-07
17,Chappathi,50,340,2022-08-07
18,Aloo Gobi,140,32,2022-08-07
19,Kadai Chicken,200,102,2022-08-07
20,Fish Curry,140,85,2022-08-07
1,Biryani,150,69,2022-08-08
2,Shawarma,120,61,2022-08-08
3,Appam,30,196,2022-08-08
4,Dosa,70,207,2022-08-08
5,Paratha,40,302,2022-08-08
6,Samosa,20,96,2022-08-08
7,Chicken Curry,140,74,2022-08-08
8,Paneer Tikka,180,50,2022-08-08
9,Mutton Biryani,250,53,2022-08-08
10,Rasam,70,69,2022-08-08
11,Palak Paneer,160,45,2022-08-08
12,Fried Rice,130,60,2022-08-08
13,Gulab Jamun,80,45,2022-08-08
14,Chicken 65,160,69,2022-08-08
15,Butter Chicken,200,74,2022-08-08
16,Veg Meals,110,88,2022-08-08
17,Chappathi,50,322,2022-08-08
18,Aloo Gobi,140,50,2022-08-08
19,Kadai Chicken,200,85,2022-08-08
20,Fish Curry,140,69,2022-08-08
1,Biryani,150,76,2022-08-09
2,Shawarma,120,71,2022-08-09
3,Appam,30,208,2022-08-09
4,Dosa,70,210,2022-08-09
5,Paratha,40,301,2022-08-09
6,Samosa,20,95,2022-08-09
7,Chicken Curry,140,82,2022-08-09
8,Paneer Tikka,180,51,2022-08-09
9,Mutton Biryani,250,51,2022-08-09
10,Rasam,70,91,2022-08-09
11,Palak Paneer,160,36,2022-08-09
12,Fried Rice,130,43,2022-08-09
13,Gulab Jamun,80,35,2022-08-09
14,Chicken 65,160,62,2022-08-09
15,Butter Chicken,200,62,2022-08-09
16,Veg Meals,110,78,2022-08-09
17,Chappathi,50,298,2022-08-09
18,Aloo Gobi,140,41,2022-08-09
19,Kadai Chicken,200,92,2022-08-09
20,Fish Curry,140,61,2022-08-09
1,Biryani,150,84,2022-08-10
2,Shawarma,120,75,2022-08-10
3,Appam,30,207,2022-08-10
4,Dosa,70,211,2022-08-10
5,Paratha,40,287,2022-08-10
6,Samosa,20,94,2022-08-10
7,Chicken Curry,140,91,2022-08-10
8,Paneer Tikka,180,57,2022-08-10
9,Mutton Biryani,250,48,2022-08-10
10,Rasam,70,80,2022-08-10
11,Palak Paneer,160,51,2022-08-10
12,Fried Rice,130,61,2022-08-10
13,Gulab Jamun,80,50,2022-08-10
14,Chicken 65,160,82,2022-08-10
15,Butter Chicken,200,83,2022-08-10
16,Veg Meals,110,90,2022-08-10
17,Chappathi,50,312,2022-08-10
18,Aloo Gobi,140,50,2022-08-10
19,Kadai Chicken,200,74,2022-08-10
20,Fish Curry,140,77,2022-08-10
1,Biryani,150,68,2022-08-11
2,Shawarma,120,71,2022-08-11
3,Appam,30,199,2022-08-11
4,Dosa,70,205,2022-08-11
5,Paratha,40,307,2022-08-11
6,Samosa,20,108,2022-08-11
7,Chicken Curry,140,84,2022-08-11
8,Paneer Tikka,180,43,2022-08-11
9,Mutton Biryani,250,45,2022-08-11
10,Rasam,70,75,2022-08-11
11,Palak Paneer,160,47,2022-08-11
12,Fried Rice,130,63,2022-08-11
13,Gulab Jamun,80,51,2022-08-11
14,Chicken 65,160,85,2022-08-11
15,Butter Chicken,200,72,2022-08-11
16,Veg Meals,110,91,2022-08-11
17,Chappathi,50,325,2022-08-11
18,Aloo Gobi,140,59,2022-08-11
19,Kadai Chicken,200,75,2022-08-11
20,Fish Curry,140,68,2022-08-11
1,Biryani,150,78,2022-08-12
2,Shawarma,120,68,2022-08-12
3,Appam,30,206,2022-08-12
4,Dosa,70,203,2022-08-12
5,Paratha,40,332,2022-08-12
6,Samosa,20,128,2022-08-12
7,Chicken Curry,140,105,2022-08-12
8,Paneer Tikka,180,52,2022-08-12
9,Mutton Biryani,250,47,2022-08-12
10,Rasam,70,83,2022-08-12
11,Palak Paneer,160,40,2022-08-12
12,Fried Rice,130,57,2022-08-12
13,Gulab Jamun,80,54,2022-08-12
14,Chicken 65,160,67,2022-08-12
15,Butter Chicken,200,86,2022-08-12
16,Veg Meals,110,83,2022-08-12
17,Chappathi,50,322,2022-08-12
18,Aloo Gobi,140,44,2022-08-12
19,Kadai Chicken,200,89,2022-08-12
20,Fish Curry,140,102,2022-08-12
1,Biryani,150,121,2022-08-13
2,Shawarma,120,69,2022-08-13
3,Appam,30,172,2022-08-13
4,Dosa,70,209,2022-08-13
5,Paratha,40,336,2022-08-13
6,Samosa,20,98,2022-08-13
7,Chicken Curry,140,91,2022-08-13
8,Paneer Tikka,180,59,2022-08-13
9,Mutton Biryani,250,54,2022-08-13
10,Rasam,70,74,2022-08-13
11,Palak Paneer,160,32,2022-08-13
12,Fried Rice,130,42,2022-08-13
13,Gulab Jamun,80,31,2022-08-13
14,Chicken 65,160,108,2022-08-13
15,Butter Chicken,200,113,2022-08-13
16,Veg Meals,110,76,2022-08-13
17,Chappathi,50,333,2022-08-13
18,Aloo Gobi,140,17,2022-08-13
19,Kadai Chicken,200,69,2022-08-13
20,Fish Curry,140,84,2022-08-13
1,Biryani,150,131,2022-08-14
2,Shawarma,120,76,2022-08-14
3,Appam,30,179,2022-08-14
4,Dosa,70,202,2022-08-14
5,Paratha,40,346,2022-08-14
6,Samosa,20,101,2022-08-14
7,Chicken Curry,140,88,2022-08-14
8,Paneer Tikka,180,11,2022-08-14
9,Mutton Biryani,250,51,2022-08-14
10,Rasam,70,67,2022-08-14
11,Palak Paneer,160,33,2022-08-14
12,Fried Rice,130,59,2022-08-14
13,Gulab Jamun,80,52,2022-08-14
14,Chicken 65,160,108,2022-08-14
15,Butter Chicken,200,116,2022-08-14
16,Veg Meals,110,57,2022-08-14
17,Chappathi,50,351,2022-08-14
18,Aloo Gobi,140,18,2022-08-14
19,Kadai Chicken,200,100,2022-08-14
20,Fish Curry,140,65,2022-08-14
1,Biryani,150,76,2022-08-15
2,Shawarma,120,60,2022-08-15
3,Appam,30,208,2022-08-15
4,Dosa,70,212,2022-08-15
5,Paratha,40,308,2022-08-15
6,Samosa,20,98,2022-08-15
7,Chicken Curry,140,80,2022-08-15
8,Paneer Tikka,180,48,2022-08-15
9,Mutton Biryani,250,55,2022-08-15
10,Rasam,70,78,2022-08-15
11,Palak Paneer,160,38,2022-08-15
12,Fried Rice,130,60,2022-08-15
13,Gulab Jamun,80,37,2022-08-15
14,Chicken 65,160,71,2022-08-15
15,Butter Chicken,200,86,2022-08-15
16,Veg Meals,110,96,2022-08-15
17,Chappathi,50,310,2022-08-15
18,Aloo Gobi,140,48,2022-08-15
19,Kadai Chicken,200,88,2022-08-15
20,Fish Curry,140,65,2022-08-15
1,Biryani,150,72,2022-08-16
2,Shawarma,120,63,2022-08-16
3,Appam,30,203,2022-08-16
4,Dosa,70,210,2022-08-16
5,Paratha,40,306,2022-08-16
6,Samosa,20,101,2022-08-16
7,Chicken Curry,140,77,2022-08-16
8,Paneer Tikka,180,57,2022-08-16
9,Mutton Biryani,250,57,2022-08-16
10,Rasam,70,93,2022-08-16
11,Palak Paneer,160,44,2022-08-16
12,Fried Rice,130,56,2022-08-16
13,Gulab Jamun,80,48,2022-08-16
14,Chicken 65,160,78,2022-08-16
15,Butter Chicken,200,83,2022-08-16
16,Veg Meals,110,92,2022-08-16
17,Chappathi,50,313,2022-08-16
18,Aloo Gobi,140,61,2022-08-16
19,Kadai Chicken,200,67,2022-08-16
20,Fish Curry,140,77,2022-08-16
1,Biryani,150,76,2022-08-17
2,Shawarma,120,61,2022-08-17
3,Appam,30,206,2022-08-17
4,Dosa,70,211,2022-08-17
5,Paratha,40,307,2022-08-17
6,Samosa,20,106,2022-08-17
7,Chicken Curry,140,84,2022-08-17
8,Paneer Tikka,180,52,2022-08-17
9,Mutton Biryani,250,54,2022-08-17
10,Rasam,70,77,2022-08-17
11,Palak Paneer,160,49,2022-08-17
12,Fried Rice,130,61,2022-08-17
13,Gulab Jamun,80,44,2022-08-17
14,Chicken 65,160,79,2022-08-17
15,Butter Chicken,200,76,2022-08-17
16,Veg Meals,110,99,2022-08-17
17,Chappathi,50,318,2022-08-17
18,Aloo Gobi,140,55,2022-08-17
19,Kadai Chicken,200,89,2022-08-17
20,Fish Curry,140,70,2022-08-17
1,Biryani,150,66,2022-08-18
2,Shawarma,120,59,2022-08-18
3,Appam,30,207,2022-08-18
4,Dosa,70,214,2022-08-18
5,Paratha,40,304,2022-08-18
6,Samosa,20,102,2022-08-18
7,Chicken Curry,140,83,2022-08-18
8,Paneer Tikka,180,55,2022-08-18
9,Mutton Biryani,250,47,2022-08-18
10,Rasam,70,82,2022-08-18
11,Palak Paneer,160,58,2022-08-18
12,Fried Rice,130,54,2022-08-18
13,Gulab Jamun,80,40,2022-08-18
14,Chicken 65,160,66,2022-08-18
15,Butter Chicken,200,79,2022-08-18
16,Veg Meals,110,90,2022-08-18
17,Chappathi,50,319,2022-08-18
18,Aloo Gobi,140,45,2022-08-18
19,Kadai Chicken,200,88,2022-08-18
20,Fish Curry,140,74,2022-08-18
1,Biryani,150,76,2022-08-19
2,Shawarma,120,69,2022-08-19
3,Appam,30,187,2022-08-19
4,Dosa,70,215,2022-08-19
5,Paratha,40,316,2022-08-19
6,Samosa,20,101,2022-08-19
7,Chicken Curry,140,93,2022-08-19
8,Paneer Tikka,180,40,2022-08-19
9,Mutton Biryani,250,57,2022-08-19
10,Rasam,70,67,2022-08-19
11,Palak Paneer,160,61,2022-08-19
12,Fried Rice,130,35,2022-08-19
13,Gulab Jamun,80,29,2022-08-19
14,Chicken 65,160,80,2022-08-19
15,Butter Chicken,200,91,2022-08-19
16,Veg Meals,110,93,2022-08-19
17,Chappathi,50,332,2022-08-19
18,Aloo Gobi,140,58,2022-08-19
19,Kadai Chicken,200,77,2022-08-19
20,Fish Curry,140,87,2022-08-19
1,Biryani,150,104,2022-08-20
2,Shawarma,120,58,2022-08-20
3,Appam,30,188,2022-08-20
4,Dosa,70,214,2022-08-20
5,Paratha,40,341,2022-08-20
6,Samosa,20,97,2022-08-20
7,Chicken Curry,140,97,2022-08-20
8,Paneer Tikka,180,43,2022-08-20
9,Mutton Biryani,250,45,2022-08-20
10,Rasam,70,105,2022-08-20
11,Palak Paneer,160,41,2022-08-20
12,Fried Rice,130,76,2022-08-20
13,Gulab Jamun,80,64,2022-08-20
14,Chicken 65,160,94,2022-08-20
15,Butter Chicken,200,86,2022-08-20
16,Veg Meals,110,81,2022-08-20
17,Chappathi,50,334,2022-08-20
18,Aloo Gobi,140,37,2022-08-20
19,Kadai Chicken,200,88,2022-08-20
20,Fish Curry,140,64,2022-08-20
1,Biryani,150,121,2022-08-21
2,Shawarma,120,53,2022-08-21
3,Appam,30,174,2022-08-21
4,Dosa,70,208,2022-08-21
5,Paratha,40,355,2022-08-21
6,Samosa,20,72,2022-08-21
7,Chicken Curry,140,102,2022-08-21
8,Paneer Tikka,180,47,2022-08-21
9,Mutton Biryani,250,64,2022-08-21
10,Rasam,70,47,2022-08-21
11,Palak Paneer,160,47,2022-08-21
12,Fried Rice,130,70,2022-08-21
13,Gulab Jamun,80,49,2022-08-21
14,Chicken 65,160,102,2022-08-21
15,Butter Chicken,200,106,2022-08-21
16,Veg Meals,110,62,2022-08-21
17,Chappathi,50,360,2022-08-21
18,Aloo Gobi,140,9,2022-08-21
19,Kadai Chicken,200,102,2022-08-21
20,Fish Curry,140,66,2022-08-21
1,Biryani,150,69,2022-08-22
2,Shawarma,120,63,2022-08-22
3,Appam,30,196,2022-08-22
4,Dosa,70,215,2022-08-22
5,Paratha,40,298,2022-08-22
6,Samosa,20,108,2022-08-22
7,Chicken Curry,140,81,2022-08-22
8,Paneer Tikka,180,54,2022-08-22
9,Mutton Biryani,250,58,2022-08-22
10,Rasam,70,75,2022-08-22
11,Palak Paneer,160,54,2022-08-22
12,Fried Rice,130,52,2022-08-22
13,Gulab Jamun,80,44,2022-08-22
14,Chicken 65,160,78,2022-08-22
15,Butter Chicken,200,68,2022-08-22
16,Veg Meals,110,79,2022-08-22
17,Chappathi,50,306,2022-08-22
18,Aloo Gobi,140,47,2022-08-22
19,Kadai Chicken,200,69,2022-08-22
20,Fish Curry,140,73,2022-08-22
1,Biryani,150,74,2022-08-23
2,Shawarma,120,59,2022-08-23
3,Appam,30,199,2022-08-23
4,Dosa,70,211,2022-08-23
5,Paratha,40,299,2022-08-23
6,Samosa,20,108,2022-08-23
7,Chicken Curry,140,83,2022-08-23
8,Paneer Tikka,180,47,2022-08-23
9,Mutton Biryani,250,41,2022-08-23
10,Rasam,70,77,2022-08-23
11,Palak Paneer,160,35,2022-08-23
12,Fried Rice,130,47,2022-08-23
13,Gulab Jamun,80,34,2022-08-23
14,Chicken 65,160,77,2022-08-23
15,Butter Chicken,200,87,2022-08-23
16,Veg Meals,110,99,2022-08-23
17,Chappathi,50,305,2022-08-23
18,Aloo Gobi,140,30,2022-08-23
19,Kadai Chicken,200,82,2022-08-23
20,Fish Curry,140,63,2022-08-23
1,Biryani,150,75,2022-08-24
2,Shawarma,120,72,2022-08-24
3,Appam,30,208,2022-08-24
4,Dosa,70,208,2022-08-24
5,Paratha,40,320,2022-08-24
6,Samosa,20,111,2022-08-24
7,Chicken Curry,140,76,2022-08-24
8,Paneer Tikka,180,52,2022-08-24
9,Mutton Biryani,250,47,2022-08-24
10,Rasam,70,95,2022-08-24
11,Palak Paneer,160,53,2022-08-24
12,Fried Rice,130,57,2022-08-24
13,Gulab Jamun,80,37,2022-08-24
14,Chicken 65,160,82,2022-08-24
15,Butter Chicken,200,70,2022-08-24
16,Veg Meals,110,87,2022-08-24
17,Chappathi,50,307,2022-08-24
18,Aloo Gobi,140,49,2022-08-24
19,Kadai Chicken,200,84,2022-08-24
20,Fish Curry,140,69,2022-08-24
1,Biryani,150,66,2022-08-25
2,Shawarma,120,63,2022-08-25
3,Appam,30,203,2022-08-25
4,Dosa,70,217,2022-08-25
5,Paratha,40,301,2022-08-25
6,Samosa,20,115,2022-08-25
7,Chicken Curry,140,82,2022-08-25
8,Paneer Tikka,180,53,2022-08-25
9,Mutton Biryani,250,48,2022-08-25
10,Rasam,70,77,2022-08-25
11,Palak Paneer,160,58,2022-08-25
12,Fried Rice,130,46,2022-08-25
13,Gulab Jamun,80,32,2022-08-25
14,Chicken 65,160,76,2022-08-25
15,Butter Chicken,200,103,2022-08-25
16,Veg Meals,110,90,2022-08-25
17,Chappathi,50,328,2022-08-25
18,Aloo Gobi,140,43,2022-08-25
19,Kadai Chicken,200,81,2022-08-25
20,Fish Curry,140,71,2022-08-25
1,Biryani,150,87,2022-08-26
2,Shawarma,120,63,2022-08-26
3,Appam,30,200,2022-08-26
4,Dosa,70,209,2022-08-26
5,Paratha,40,332,2022-08-26
6,Samosa,20,115,2022-08-26
7,Chicken Curry,140,83,2022-08-26
8,Paneer Tikka,180,52,2022-08-26
9,Mutton Biryani,250,65,2022-08-26
10,Rasam,70,80,2022-08-26
11,Palak Paneer,160,61,2022-08-26
12,Fried Rice,130,69,2022-08-26
13,Gulab Jamun,80,62,2022-08-26
14,Chicken 65,160,67,2022-08-26
15,Butter Chicken,200,74,2022-08-26
16,Veg Meals,110,100,2022-08-26
17,Chappathi,50,315,2022-08-26
18,Aloo Gobi,140,45,2022-08-26
19,Kadai Chicken,200,74,2022-08-26
20,Fish Curry,140,72,2022-08-26
1,Biryani,150,107,2022-08-27
2,Shawarma,120,66,2022-08-27
3,Appam,30,190,2022-08-27
4,Dosa,70,217,2022-08-27
5,Paratha,40,343,2022-08-27
6,Samosa,20,102,2022-08-27
7,Chicken Curry,140,102,2022-08-27
8,Paneer Tikka,180,59,2022-08-27
9,Mutton Biryani,250,52,2022-08-27
10,Rasam,70,78,2022-08-27
11,Palak Paneer,160,40,2022-08-27
12,Fried Rice,130,46,2022-08-27
13,Gulab Jamun,80,45,2022-08-27
14,Chicken 65,160,90,2022-08-27
15,Butter Chicken,200,105,2022-08-27
16,Veg Meals,110,85,2022-08-27
17,Chappathi,50,316,2022-08-27
18,Aloo Gobi,140,20,2022-08-27
19,Kadai Chicken,200,88,2022-08-27
20,Fish Curry,140,80,2022-08-27
1,Biryani,150,126,2022-08-28
2,Shawarma,120,61,2022-08-28
3,Appam,30,173,2022-08-28
4,Dosa,70,208,2022-08-28
5,Paratha,40,364,2022-08-28
6,Samosa,20,61,2022-08-28
7,Chicken Curry,140,92,2022-08-28
8,Paneer Tikka,180,24,2022-08-28
9,Mutton Biryani,250,29,2022-08-28
10,Rasam,70,41,2022-08-28
11,Palak Paneer,160,37,2022-08-28
12,Fried Rice,130,56,2022-08-28
13,Gulab Jamun,80,53,2022-08-28
14,Chicken 65,160,103,2022-08-28
15,Butter Chicken,200,98,2022-08-28
16,Veg Meals,110,68,2022-08-28
17,Chappathi,50,342,2022-08-28
18,Aloo Gobi,140,20,2022-08-28
19,Kadai Chicken,200,110,2022-08-28
20,Fish Curry,140,71,2022-08-28
1,Biryani,150,63,2022-08-29
