15,Butter Chicken,200,73,2023-05-03
16,Veg Meals,110,90,2023-05-03
17,Chappathi,50,318,2023-05-03
18,Aloo Gobi,140,54,2023-05-03
19,Kadai Chicken,200,66,2023-05-03
20,Fish Curry,140,82,2023-05-03

1,Biryani,150,66,2023-05-04
2,Shawarma,120,57,2023-05-04
3,Appam,30,209,2023-05-04
4,Dosa,70,212,2023-05-04
5,Paratha,40,315,2023-05-04
6,Samosa,20,93,2023-05-04
7,Chicken Curry,140,84,2023-05-04
8,Paneer Tikka,180,57,2023-05-04
9,Mutton Biryani,250,62,2023-05-04
10,Rasam,70,94,2023-05-04
11,Palak Paneer,160,67,2023-05-04
12,Fried Rice,130,40,2023-05-04
13,Gulab Jamun,80,50,2023-05-04
14,Chicken 65,160,85,2023-05-04
15,Butter Chicken,200,71,2023-05-04
16,Veg Meals,110,92,2023-05-04
17,Chappathi,50,311,2023-05-04
18,Aloo Gobi,140,45,2023-05-04
19,Kadai Chicken,200,79,2023-05-04
20,Fish Curry,140,71,2023-05-04

1,Biryani,150,85,2023-05-05
2,Shawarma,120,56,2023-05-05
3,Appam,30,207,2023-05-05
4,Dosa,70,207,2023-05-05
5,Paratha,40,303,2023-05-05
6,Samosa,20,98,2023-05-05
7,Chicken Curry,140,87,2023-05-05
8,Paneer Tikka,180,50,2023-05-05
9,Mutton Biryani,250,46,2023-05-05
10,Rasam,70,68,2023-05-05
11,Palak Paneer,160,57,2023-05-05
12,Fried Rice,130,82,2023-05-05
13,Gulab Jamun,80,48,2023-05-05
14,Chicken 65,160,87,2023-05-05
15,Butter Chicken,200,95,2023-05-05
16,Veg Meals,110,80,2023-05-05
17,Chappathi,50,319,2023-05-05
18,Aloo Gobi,140,33,2023-05-05
19,Kadai Chicken,200,83,2023-05-05
20,Fish Curry,140,85,2023-05-05

1,Biryani,150,111,2023-05-06
2,Shawarma,120,36,2023-05-06
3,Appam,30,192,2023-05-06
4,Dosa,70,205,2023-05-06
5,Paratha,40,352,2023-05-06
6,Samosa,20,88,2023-05-06
7,Chicken Curry,140,82,2023-05-06
8,Paneer Tikka,180,33,2023-05-06
9,Mutton Biryani,250,48,2023-05-06
10,Rasam,70,73,2023-05-06
11,Palak Paneer,160,51,2023-05-06
12,Fried Rice,130,35,2023-05-06
13,Gulab Jamun,80,46,2023-05-06
14,Chicken 65,160,88,2023-05-06
15,Butter Chicken,200,92,2023-05-06
16,Veg Meals,110,95,2023-05-06
17,Chappathi,50,337,2023-05-06
18,Aloo Gobi,140,33,2023-05-06
19,Kadai Chicken,200,102,2023-05-06
20,Fish Curry,140,79,2023-05-06

1,Biryani,150,118,2023-05-07
2,Shawarma,120,70,2023-05-07
3,Appam,30,183,2023-05-07
4,Dosa,70,198,2023-05-07
5,Paratha,40,357,2023-05-07
6,Samosa,20,91,2023-05-07
7,Chicken Curry,140,94,2023-05-07
8,Paneer Tikka,180,30,2023-05-07
9,Mutton Biryani,250,41,2023-05-07
10,Rasam,70,72,2023-05-07
11,Palak Paneer,160,40,2023-05-07
12,Fried Rice,130,67,2023-05-07
13,Gulab Jamun,80,54,2023-05-07
14,Chicken 65,160,103,2023-05-07
15,Butter Chicken,200,111,2023-05-07
16,Veg Meals,110,72,2023-05-07
17,Chappathi,50,359,2023-05-07
18,Aloo Gobi,140,28,2023-05-07
19,Kadai Chicken,200,85,2023-05-07
20,Fish Curry,140,69,2023-05-07

1,Biryani,150,66,2023-05-08
2,Shawarma,120,55,2023-05-08
3,Appam,30,198,2023-05-08
4,Dosa,70,206,2023-05-08
5,Paratha,40,312,2023-05-08
6,Samosa,20,96,2023-05-08
7,Chicken Curry,140,89,2023-05-08
8,Paneer Tikka,180,47,2023-05-08
9,Mutton Biryani,250,57,2023-05-08
10,Rasam,70,77,2023-05-08
11,Palak Paneer,160,69,2023-05-08
12,Fried Rice,130,56,2023-05-08
13,Gulab Jamun,80,62,2023-05-08
14,Chicken 65,160,78,2023-05-08
15,Butter Chicken,200,73,2023-05-08
16,Veg Meals,110,89,2023-05-08
17,Chappathi,50,320,2023-05-08
18,Aloo Gobi,140,50,2023-05-08
19,Kadai Chicken,200,83,2023-05-08
20,Fish Curry,140,67,2023-05-08

1,Biryani,150,71,2023-05-09
2,Shawarma,120,58,2023-05-09
3,Appam,30,201,2023-05-09
4,Dosa,70,215,2023-05-09
5,Paratha,40,308,2023-05-09
6,Samosa,20,103,2023-05-09
7,Chicken Curry,140,84,2023-05-09
8,Paneer Tikka,180,52,2023-05-09
9,Mutton Biryani,250,53,2023-05-09
10,Rasam,70,82,2023-05-09
11,Palak Paneer,160,66,2023-05-09
12,Fried Rice,130,50,2023-05-09
13,Gulab Jamun,80,34,2023-05-09
14,Chicken 65,160,85,2023-05-09
15,Butter Chicken,200,86,2023-05-09
16,Veg Meals,110,101,2023-05-09
17,Chappathi,50,319,2023-05-09
18,Aloo Gobi,140,49,2023-05-09
19,Kadai Chicken,200,75,2023-05-09
20,Fish Curry,140,79,2023-05-09

1,Biryani,150,81,2023-05-10
2,Shawarma,120,72,2023-05-10
3,Appam,30,205,2023-05-10
4,Dosa,70,204,2023-05-10
5,Paratha,40,300,2023-05-10
6,Samosa,20,100,2023-05-10
7,Chicken Curry,140,88,2023-05-10
8,Paneer Tikka,180,54,2023-05-10
9,Mutton Biryani,250,58,2023-05-10
10,Rasam,70,85,2023-05-10
11,Palak Paneer,160,51,2023-05-10
12,Fried Rice,130,61,2023-05-10
13,Gulab Jamun,80,41,2023-05-10
14,Chicken 65,160,72,2023-05-10
15,Butter Chicken,200,73,2023-05-10
16,Veg Meals,110,97,2023-05-10
17,Chappathi,50,318,2023-05-10
18,Aloo Gobi,140,47,2023-05-10
19,Kadai Chicken,200,79,2023-05-10
20,Fish Curry,140,78,2023-05-10

1,Biryani,150,73,2023-05-11
2,Shawarma,120,72,2023-05-11
3,Appam,30,209,2023-05-11
4,Dosa,70,221,2023-05-11
5,Paratha,40,310,2023-05-11
6,Samosa,20,107,2023-05-11
7,Chicken Curry,140,83,2023-05-11
8,Paneer Tikka,180,49,2023-05-11
9,Mutton Biryani,250,41,2023-05-11
10,Rasam,70,97,2023-05-11
11,Palak Paneer,160,52,2023-05-11
12,Fried Rice,130,53,2023-05-11
13,Gulab Jamun,80,38,2023-05-11
14,Chicken 65,160,83,2023-05-11
15,Butter Chicken,200,88,2023-05-11
16,Veg Meals,110,91,2023-05-11
17,Chappathi,50,321,2023-05-11
18,Aloo Gobi,140,58,2023-05-11
19,Kadai Chicken,200,84,2023-05-11
20,Fish Curry,140,61,2023-05-11

1,Biryani,150,81,2023-05-12
2,Shawarma,120,46,2023-05-12
3,Appam,30,201,2023-05-12
4,Dosa,70,217,2023-05-12
5,Paratha,40,318,2023-05-12
6,Samosa,20,97,2023-05-12
7,Chicken Curry,140,95,2023-05-12
8,Paneer Tikka,180,39,2023-05-12
9,Mutton Biryani,250,62,2023-05-12
10,Rasam,70,72,2023-05-12
11,Palak Paneer,160,52,2023-05-12
12,Fried Rice,130,53,2023-05-12
13,Gulab Jamun,80,43,2023-05-12
14,Chicken 65,160,78,2023-05-12
15,Butter Chicken,200,96,2023-05-12
16,Veg Meals,110,100,2023-05-12
17,Chappathi,50,307,2023-05-12
18,Aloo Gobi,140,49,2023-05-12
19,Kadai Chicken,200,69,2023-05-12
20,Fish Curry,140,70,2023-05-12
